"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"9886251",245046.9,466338.2,245644.9,466441.6,"SCAR-L",1328,"Rifle","Elevated","Elevated",606.87359474605
"19973026",541547,245113.6,542089.3,245427.5,"AKM",320,"Rifle","Normal","Normal",626.595962323447
"26878468",448609.8,113468.9,448764,113141,"P92",212,"Pistol","Normal","Normal",362.347968119044
"36456339",244306.2,485001.3,244886,485880.3,"M16A4",921,"Rifle","Elevated","Elevated",1053.00001899335
"32332807",385597,572715.6,385447.4,574641.2,"SCAR-L",2004,"Rifle","Normal","Normal",1931.40247488707
"25471780",518647.1,242525.6,516303.2,243415.4,"M416",715,"Rifle","Normal","Normal",2507.11213351135
"34895226",214734.2,396654.9,206771.4,398745.4,"M416",1675,"Rifle","Normal","Normal",8232.64077255897
"38140626",207207.6,269748.5,212302.8,269669.9,"M416",190,"Rifle","Normal","Normal",5095.80621688068
"826213",338846.8,160872,338809.6,161014,"Tommy Gun",404,"Sub Machine Gun","Normal","Normal",146.791825385479
"32873210",495624.3,414836.8,490706.8,414455.4,"Groza",1599,"Rifle","Normal","Normal",4932.26846491551
"6572716",336602.8,171029.2,337132.9,171529.3,"S12K",116,"Shotgun","Normal","Normal",728.770210697456
"21615451",367190.3,417061.9,367235.8,416996.3,"Punch",136,"Melee","Normal","Normal",79.8348921212059
"12777861",447202.7,629605.4,450225.4,629119.1,"UMP9",122,"Sub Machine Gun","Normal","Normal",3061.56871227809
"6081818",543021.6,464574.5,543087.8,464215.6,"SCAR-L",1701,"Rifle","Normal","Normal",364.954312209112
"15692259",439260.4,447069.5,438839.5,446995.8,"UMP9",420,"Sub Machine Gun","Normal","Normal",427.303756126741
"32183783",418569.6,324329.1,419617.3,324936.5,"Punch",206,"Melee","Normal","Normal",1211.0367665765
"19316033",382754.1,115501.8,381913.5,114826,"VSS",114,"Sub Machine Gun","Normal","Normal",1078.57035004675
"22725792",402119.1,294174.9,404940.8,293007.7,"M16A4",338,"Rifle","Normal","Normal",3053.57933088369
"3442858",714224.7,402395.5,701142.8,403597,"M16A4",1292,"Rifle","Normal","Normal",13136.9596886037
"31880896",341404.3,167353.9,341333.9,167539,"P1911",233,"Pistol","Normal","Normal",198.035779595499
"37849451",425489.6,326302.3,434348.3,337626.6,"M16A4",499,"Rifle","Normal","Normal",14377.6331911758
"24121127",355172.6,334814.8,353822.9,335561.1,"M416",1790,"Rifle","Normal","Normal",1542.2884879295
"11931304",351683.9,482362.4,349540.5,478205.9,"AKM",579,"Rifle","Normal","Normal",4676.6072969622
"36214019",633716.8,363024.3,615440.1,368326.1,"Kar98k",583,"Sniper","Normal","Normal",19030.1562297844
"30696630",485860,354276.2,493362.4,356051.9,"Micro UZI",862,"Sub Machine Gun","Normal","Normal",7709.67679283642
"37261835",161512.4,313639.9,153757.5,313584.8,"Mini 14",361,"Rifle","Normal","Normal",7755.09574537929
"24690528",422395.2,324701.1,422075.8,324848.9,"SCAR-L",109,"Rifle","Normal","Normal",351.939199294464
"27746416",350686.3,313974.5,351242.3,315816.3,"AKM",528,"Rifle","Normal","Normal",1923.89273089743
"23348659",419787.8,324840.3,419132,325229,"SCAR-L",289,"Rifle","Normal","Normal",762.339379804031
"20160808",456812.2,287651.1,456140.5,289874.2,"M416",1957,"Rifle","Normal","Normal",2322.35968359773
"14296537",443718.3,635486.2,443345.2,637921.8,"Grenade",380,"Explosives","Normal","Normal",2464.01115460146
"6180987",436737.5,640093.4,436086.7,640158.4,"P18C",114,"Pistol","Normal","Normal",654.037949969254
"25618328",385406.3,319719.6,385566.6,319399.2,"S686",1410,"Shotgun","Normal","Normal",358.262822519968
"18880118",671414.9,538076,663310.8,543296.4,"Mini 14",1248,"Rifle","Normal","Normal",9639.9695523378
"30803763",446354.2,629708.9,447630.9,629474.4,"AKM",518,"Rifle","Normal","Normal",1298.05744865165
"36223171",332318.8,162240.3,332141.3,161730.6,"Tommy Gun",194,"Sub Machine Gun","Normal","Normal",539.722465717319
"4860050",202122.4,269820.9,199325.2,269625.4,"Tommy Gun",388,"Sub Machine Gun","Normal","Normal",2804.0235537527
"23139442",350855.1,407656.3,351319,408035.2,"UMP9",618,"Sub Machine Gun","Normal","Normal",598.972804057112
"22689946",325410.8,381572.6,329597.8,384165,"DP-28",1181,"Machine Gun","Normal","Normal",4924.58188682046
"38533853",620037,296631.5,619871.6,297313.9,"Mini 14",227,"Rifle","Normal","Normal",702.158756977394
"37951647",447575.3,629514.6,451068.5,622783.1,"AKM",409,"Rifle","Normal","Normal",7583.89995253102
"15593926",154897.7,391953.6,154838.3,391664.3,"M416",1550,"Rifle","Normal","Normal",295.33514860239
"10883552",550943,165888.2,553864.4,173602.3,"M416",1573,"Rifle","Normal","Normal",8248.75243718708
"33769309",421355.3,257770,426200.3,253590.1,"M416",1632,"Rifle","Normal","Normal",6398.87404236089
"3875468",341922.4,315497.2,342745.5,314680.9,"S12K",336,"Shotgun","Normal","Normal",1159.24082916361
"11574994",569863.1,629390.4,569823.1,629467.9,"Punch",126,"Melee","Elevated","Elevated",87.213817712562
"36544585",622398.3,379359.6,622524.9,378414.1,"M416",922,"Rifle","Normal","Normal",953.938053544356
"11512413",268545.2,574274.1,268572.1,574117.9,"SCAR-L",1766,"Rifle","Normal","Normal",158.499369083866
"31205885",530367.9,369442.2,535623.8,363382.7,"S12K",672,"Shotgun","Normal","Normal",8021.34808246097
"8750327",365505.4,406057.9,365519.8,405796.7,"M416",631,"Rifle","Normal","Normal",261.596636064008
"20374874",386847.4,600927.6,397201.3,621345.6,"M16A4",1370,"Rifle","Normal","Normal",22893.1860869124
"24446080",522837.1,243825.9,523872.4,243508.1,"M16A4",327,"Rifle","Normal","Normal",1082.97873016975
"6510464",366296.2,389076.9,364126.3,389093.8,"M416",470,"Rifle","Normal","Normal",2169.9658107906
"25693720",391744.1,286650.9,391939.8,286662.7,"Vector",199,"Sub Machine Gun","Normal","Normal",196.055425836686
"34742922",128217.7,353646.9,127204.8,352332.8,"S12K",313,"Shotgun","Normal","Normal",1659.16401238699
"27987393",468547.1,375603.3,470475.9,370301.9,"SKS",1359,"Sniper","Normal","Normal",5641.37495651546
"399196",198841.4,286994.9,199487.8,287169.2,"M416",241,"Rifle","Normal","Normal",669.4874532058
"18280906",359071.3,400637.9,358602.9,399888.8,"AKM",272,"Rifle","Normal","Normal",883.487051404841
"38551686",464420.9,415890.9,464055.1,415953.8,"M416",1552,"Rifle","Normal","Normal",371.168492736156
"12420505",312271.8,316840.8,310401.6,318274.3,"UMP9",381,"Sub Machine Gun","Normal","Normal",2356.38924840529
"29071110",273390.5,235673.9,274219.2,235618.7,"Grenade",1207,"Explosives","Normal","Normal",830.53641100196
"15177360",445436.6,626983.4,445509.1,623383.8,"SKS",374,"Sniper","Normal","Normal",3600.33004181559
"444523",394175.5,151333.9,390089.7,143729,"Uaz",717,"Vehicles","Normal","Normal",8632.97548067871
"36480443",176556.9,626861,179716,629919.3,"Crossbow",244,"Sniper","Normal","Normal",4396.94344971599
"27579988",202202.3,282022.9,201208.6,276918.1,"SCAR-L",385,"Rifle","Normal","Normal",5200.61753352431
"7761391",609202.8,297924.8,606767.4,297048.2,"M16A4",477,"Rifle","Normal","Normal",2588.35869229905
"14654547",551930.1,491674.1,553213.1,491963.2,"AKM",1163,"Rifle","Normal","Normal",1315.16835804395
"25557334",688050.8,462790.3,688220.1,462822.5,"S1897",197,"Shotgun","Normal","Normal",172.334935517953
"33460047",302535.2,443579.3,301205.9,443878.6,"SCAR-L",1660,"Rifle","Normal","Normal",1362.57806381872
"9073554",432073.2,670256.4,414618.8,682437.3,"Kar98k",1585,"Sniper","Normal","Normal",21284.5108980686
"3083046",286277,304097.6,281393.6,303020.4,"SCAR-L",1811,"Rifle","Normal","Normal",5000.79547672169
"36206393",673760.9,358905.5,671457.8,355830.7,"Kar98k",1560,"Sniper","Normal","Normal",3841.70074966802
"27171590",359188.8,515370.9,359318.3,515298.9,"AKM",236,"Rifle","Normal","Normal",148.169666261351
"10850272",441049.8,656732.4,447429.6,653534.1,"M416",1758,"Rifle","Normal","Normal",7136.59379045775
"39303347",210218.5,288963.2,210128.1,289000.7,"Micro UZI",243,"Sub Machine Gun","Normal","Normal",97.869351688866
